"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"bvv2n","#C0C0B8","31","Glacier White Solid","Glacier White Solid"
"bvv2n","#989898","34","Star Silver Metallic","Star Silver Metallic"
"bvv2n","#202020","36","Black Solid","Black Solid"
"bvv2n","#983010","61","Kodiak Metallic","Kodiak Metallic"
"bvv2n","#801810","62","Moroccan Red Solid","Moroccan Red Solid"
"bvv2n","#581810","64","Satin Red Pearlescent","Satin Red Pearlescent"
"bvv2n","#183820","67","Velvet Green Pearlescent","Velvet Green Pearlescent"
"bvv2n","#807060","69","Titanium Pearlescent","Titanium Pearlescent"
"bvv2n","#306048","6D","Classic Green Metallic","Classic Green Metallic"
"bvv2n","#303040","71","Polar Sea Blue Pearlescent","Polar Sea Blue Pearlescent"
"bvv2n","#303040","74","Kings Blue Solid","Kings Blue Solid"
"bvv2r","#A04848","62","",""
"bvv2r","#686070","73","",""
"gov2n","#C0C0B8","31","Casablancaweiß","Casablancaweiß"
"gov2n","#989898","34","Starsillber","Starsillber"
"gov2n","#202020","36","Schwarz","Schwarz"
"gov2n","#782810","61","Kodiak","Kodiak"
"gov2n","#981818","62","Tizianrot","Tizianrot"
"gov2n","#581818","64","Marseillerot","Marseillerot"
"gov2n","#184028","67","Dschungelgrün","Dschungelgrün"
"gov2n","#807860","69","Titaniumsilber","Titaniumsilber"
"gov2n","#607060","6C","Klassikgrün","Klassikgrün"
"gov2n","#507060","6D","Nautilusblau","Nautilusblau"
"gov2n","#383840","71","Königsblau","Königsblau"
"gov2n","#083060","73","Polarmeerblau","Polarmeerblau"
"gov2r","#A85850","62","",""
"gov2r","#687068","67","",""
