"CarName","HexColour","PaletteID","JapaneseName","LatinName"
"fv30n","#989898","34","Gris Titane","Gris Titane"
"fv30n","#901010","62","Rouge Passion","Rouge Passion"
"fv30n","#601810","65","Rouge Cardinal","Rouge Cardinal"
"fv30n","#C09800","68","Jaune Rapsodie","Jaune Rapsodie"
"fv30n","#185820","6C","Vert Caraibe","Vert Caraibe"
"fv30n","#103010","6D","Vert Chasseur","Vert Chasseur"
"fv30n","#102850","71","Bleu Outremer","Bleu Outremer"
"fv30n","#303038","73","Bleu Orage","Bleu Orage"
"fv4gn","#989898","34","Gris Titane","Gris Titane"
"fv4gn","#901010","62","Rouge Passion","Rouge Passion"
"fv4gn","#601818","65","Rouge Cardinal","Rouge Cardinal"
"fv4gn","#C0A000","68","Jaune Rapsodie","Jaune Rapsodie"
"fv4gn","#185820","6C","Vert Caraibe","Vert Caraibe"
"fv4gn","#103010","6D","Vert Chasseur","Vert Chasseur"
"fv4gn","#082858","71","Bleu Outremer","Bleu Outremer"
"fv4gn","#303040","73","Bleu Orage","Bleu Orage"
