"Car","Price","Colour"
"s236n","6982","62"
"s2vin","8521","62"
"sipzn","12636","73"
"sipwn","13367","36"
"sipzn","13533","31"
"slgwn","13601","36"
"slgwn","13670","34"
"slgwn","13963","73"
"sipcn","14016","65"
"sipan","16289","36"
"sipsn","16571","31"
"ssvxn","16855","36"
"ssvxn","17200","35"
"s2iwn","17289","73"
"slgbn","18238","6D"
"slgan","18274","6D"
"slgan","18616","35"
"sipan","18923","31"
"sipbn","19937","31"
"sipdn","20391","73"
"sipbn","20444","36"
"s23vn","20903","70"
"s2w4n","21865","36"
"s2i4n","22326","31"
"s2r5n","25538","36"
"s2r5n","26497","62"
"s2i5n","26670","36"
"s2r5n","26792","31"
"s2r5n","27491","35"
