"Car","Price","Colour"
"s2vin","8968","34"
"slgnn","12047","73"
"slgwn","12898","34"
"sipwn","13285","34"
"slgwn","13765","65"
"slgwn","13797","36"
"slgwn","14159","6D"
"sipzn","14438","36"
"sipcn","14897","34"
"sipcn","15715","73"
"ssvxn","16527","36"
"s2wwn","17589","65"
"s2iwn","17793","73"
"s2wwn","18215","36"
"slgbn","18723","65"
"slgan","18817","73"
"sipan","18884","31"
"slgbn","18895","31"
"slgbn","18973","36"
"slgan","19063","35"
"s2iwn","19900","36"
"slgan","20568","31"
"sipbn","21225","70"
"s2i4n","23508","31"
"s2r4n","23618","31"
"s2lbn","24368","34"
"s2r4n","24519","34"
"s2w5n","24548","35"
"s2w5n","25167","31"
"s2i5n","26343","34"
"s2r5n","26725","31"
"s2i5n","26970","31"
"s2i5n","27645","35"
"s222n","55733","73"
