"Car","Price","Colour"
"s2vin","8965","36"
"slgnn","12147","62"
"sipzn","12233","73"
"slgnn","12438","34"
"slgwn","13473","6D"
"slgwn","13675","73"
"sipcn","14089","34"
"sipzn","14356","36"
"sipzn","14860","65"
"ssvxn","18240","35"
"ssvxn","18302","62"
"s2iwn","18329","65"
"s2wwn","18652","73"
"slgan","18785","6D"
"sipbn","19507","31"
"slgan","19514","73"
"s2wwn","19606","36"
"s2wwn","19607","31"
"slgan","20467","31"
"s2lbn","20695","31"
"sipdn","20824","73"
"slgbn","21201","31"
"ssv4n","21510","62"
"s2lbn","21649","62"
"s23vn","21726","70"
"slgan","22063","34"
"s2r4n","24005","34"
"s2r5n","25230","36"
"s2w5n","25724","31"
"s2i5n","25972","31"
"s2i5n","26189","34"
"s2r5n","28668","34"
